Coventry,beat,Arsenal,14/08/1993
Aston Villa,beat,QPR,14/08/1993
Blackburn,beat,Chelsea,14/08/1993
Liverpool,beat,Sheffield Weds,14/08/1993
Man City,tied,Leeds,14/08/1993
Tottenham,beat,Newcastle,14/08/1993
Ipswich,beat,Oldham,14/08/1993
Sheffield United,beat,Swindon,14/08/1993
Everton,beat,Southampton,14/08/1993
Wimbledon,beat,West Ham,14/08/1993
Man United,beat,Norwich,15/08/1993
Arsenal,beat,Tottenham,16/08/1993
Everton,beat,Man City,17/08/1993
Ipswich,beat,Southampton,17/08/1993
Leeds,beat,West Ham,17/08/1993
Wimbledon,tied,Chelsea,17/08/1993
Norwich,beat,Blackburn,18/08/1993
Coventry,beat,Newcastle,18/08/1993
Man United,beat,Sheffield United,18/08/1993
Liverpool,beat,QPR,18/08/1993
Sheffield Weds,tied,Aston Villa,18/08/1993
Oldham,beat,Swindon,18/08/1993
Blackburn,beat,Oldham,21/08/1993
Coventry,tied,West Ham,21/08/1993
Everton,beat,Sheffield United,21/08/1993
Ipswich,beat,Chelsea,21/08/1993
Norwich,beat,Leeds,21/08/1993
Man United,tied,Newcastle,21/08/1993
QPR,beat,Southampton,21/08/1993
Arsenal,beat,Sheffield Weds,21/08/1993
Tottenham,beat,Man City,21/08/1993
Wimbledon,tied,Aston Villa,21/08/1993
Liverpool,beat,Swindon,22/08/1993
Man United,beat,Aston Villa,23/08/1993
Arsenal,beat,Leeds,24/08/1993
Blackburn,beat,Man City,24/08/1993
Oldham,tied,Coventry,24/08/1993
Sheffield United,beat,Wimbledon,24/08/1993
Chelsea,beat,QPR,25/08/1993
Tottenham,beat,Liverpool,25/08/1993
Newcastle,beat,Everton,25/08/1993
Norwich,beat,Ipswich,25/08/1993
Southampton,beat,Swindon,25/08/1993
West Ham,beat,Sheffield Weds,25/08/1993
Man City,tied,Coventry,27/08/1993
Arsenal,beat,Everton,28/08/1993
Aston Villa,beat,Tottenham,28/08/1993
Chelsea,tied,Sheffield Weds,28/08/1993
Liverpool,beat,Leeds,28/08/1993
Norwich,tied,Swindon,28/08/1993
Oldham,tied,Wimbledon,28/08/1993
Sheffield United,tied,Ipswich,28/08/1993
Man United,beat,Southampton,28/08/1993
QPR,beat,West Ham,28/08/1993
Newcastle,tied,Blackburn,29/08/1993
Leeds,beat,Oldham,30/08/1993
Aston Villa,beat,Everton,31/08/1993
Ipswich,tied,Newcastle,31/08/1993
Wimbledon,beat,Southampton,31/08/1993
Blackburn,tied,Arsenal,01/09/1993
Coventry,beat,Liverpool,01/09/1993
Man United,beat,West Ham,01/09/1993
QPR,beat,Sheffield United,01/09/1993
Sheffield Weds,tied,Norwich,01/09/1993
Man City,beat,Swindon,01/09/1993
Tottenham,tied,Chelsea,01/09/1993
Arsenal,beat,Ipswich,11/09/1993
Aston Villa,tied,Coventry,11/09/1993
Chelsea,beat,Man United,11/09/1993
Man City,beat,QPR,11/09/1993
Wimbledon,beat,Norwich,11/09/1993
Everton,beat,Oldham,11/09/1993
Sheffield United,tied,Tottenham,11/09/1993
Leeds,beat,Southampton,11/09/1993
West Ham,tied,Swindon,11/09/1993
Blackburn,beat,Liverpool,12/09/1993
Newcastle,beat,Sheffield Weds,13/09/1993
West Ham,beat,Blackburn,18/09/1993
Coventry,tied,Chelsea,18/09/1993
Everton,beat,Liverpool,18/09/1993
Aston Villa,beat,Ipswich,18/09/1993
Leeds,beat,Sheffield United,18/09/1993
QPR,tied,Norwich,18/09/1993
Sheffield Weds,beat,Southampton,18/09/1993
Swindon,tied,Newcastle,18/09/1993
Tottenham,beat,Oldham,18/09/1993
Man United,beat,Arsenal,19/09/1993
Wimbledon,beat,Man City,20/09/1993
Arsenal,beat,Southampton,25/09/1993
Blackburn,tied,Sheffield Weds,25/09/1993
Chelsea,beat,Liverpool,25/09/1993
Leeds,beat,Coventry,25/09/1993
Norwich,beat,Everton,25/09/1993
