date,team1,rating1,team2,rating2,team3,rating3,team4,rating4,team5,rating5,team6,rating6
15/08/1993,Coventry,1516,Aston Villa,1516,Blackburn,1516,Liverpool,1516,Tottenham,1516,Ipswich,1516
16/08/1993,Coventry,1516,Aston Villa,1516,Blackburn,1516,Liverpool,1516,Ipswich,1516,Sheffield United,1516
17/08/1993,Everton,1531,Coventry,1516,Aston Villa,1516,Blackburn,1516,Liverpool,1516,Ipswich,1516
18/08/1993,Everton,1531,Ipswich,1530,Coventry,1516,Aston Villa,1516,Liverpool,1516,Sheffield United,1516
21/08/1993,Man United,1532,Everton,1531,Ipswich,1530,Coventry,1530,Liverpool,1530,Aston Villa,1516
22/08/1993,Everton,1545,Ipswich,1544,Liverpool,1543,Man United,1532,Coventry,1530,Norwich,1518
23/08/1993,Man United,1547,Everton,1545,Ipswich,1544,Liverpool,1543,Coventry,1530,Norwich,1518
24/08/1993,Man United,1547,Everton,1545,Ipswich,1544,Liverpool,1543,Arsenal,1531,Coventry,1530
25/08/1993,Man United,1547,Everton,1545,Ipswich,1544,Liverpool,1543,Arsenal,1531,Coventry,1530
27/08/1993,Man United,1547,Norwich,1535,Arsenal,1531,Tottenham,1531,Coventry,1530,Blackburn,1528
28/08/1993,Arsenal,1547,Man United,1547,Norwich,1535,Tottenham,1531,Coventry,1530,Blackburn,1528
29/08/1993,Man United,1559,Arsenal,1547,Liverpool,1540,Norwich,1535,Coventry,1530,Blackburn,1528
30/08/1993,Man United,1559,Arsenal,1547,Liverpool,1540,Norwich,1535,Coventry,1530,Blackburn,1528
31/08/1993,Man United,1559,Arsenal,1547,Liverpool,1540,Norwich,1535,Aston Villa,1533,Coventry,1530
01/09/1993,Man United,1559,Arsenal,1547,Liverpool,1540,Norwich,1535,Aston Villa,1533,Coventry,1530
11/09/1993,Man United,1571,Arsenal,1562,Coventry,1546,Norwich,1535,Aston Villa,1533,Blackburn,1528
12/09/1993,Arsenal,1562,Man United,1551,Coventry,1546,Blackburn,1544,Aston Villa,1533,Wimbledon,1529
13/09/1993,Arsenal,1562,Man United,1551,Coventry,1546,Blackburn,1544,Aston Villa,1533,Wimbledon,1529
18/09/1993,Arsenal,1562,Man United,1551,Coventry,1546,Aston Villa,1533,Wimbledon,1529,Blackburn,1524
19/09/1993,Man United,1568,Aston Villa,1548,Coventry,1546,Arsenal,1546,Wimbledon,1529,Tottenham,1527
20/09/1993,Man United,1568,Aston Villa,1548,Coventry,1546,Arsenal,1546,Wimbledon,1543,Tottenham,1527
25/09/1993,Man United,1568,Arsenal,1556,Aston Villa,1548,Coventry,1546,Wimbledon,1543,Tottenham,1527
26/09/1993,Man United,1577,Arsenal,1556,Aston Villa,1548,Wimbledon,1543,Norwich,1534,Leeds,1532
27/09/1993,Man United,1577,Arsenal,1556,Aston Villa,1548,Wimbledon,1543,Norwich,1534,Leeds,1532
02/10/1993,Man United,1577,Arsenal,1556,Wimbledon,1543,Newcastle,1535,Norwich,1534,Leeds,1532
03/10/1993,Man United,1588,Arsenal,1556,Norwich,1550,Leeds,1549,Tottenham,1542,Newcastle,1535
